ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	8754	8674	8599	8679	8626	8694	8789
2	8754	8675	8600	8680	8626	8695	8789
3	8754	8676	8601	8681	8626	8696	8790
4	8754	8677	8599	8679	8627	8697	8791
5	8754	8675	8600	8680	8628	8695	8789
6	8754	8677	8599	8679	8627	8697	8791
7	8754	8675	8600	8680	8628	8695	8792
8	8754	8676	8601	8681	8626	8696	8790
9	8754	8676	8601	8681	8626	8696	8790
10	8754	8675	8600	8680	8628	8695	8792
11	8754	8675	8600	8680	8629	8695	8789
12	8754	8677	8599	8679	8627	8697	8791
13	8754	8675	8600	8680	8628	8695	8792
14	8754	8676	8601	8681	8626	8696	8790
15	8754	8675	8600	8680	8628	8695	8789
16	8754	8675	8600	8680	8626	8695	8789
17	8754	8674	8599	8679	8626	8694	8789
18	8754	8677	8599	8679	8627	8697	8791
19	8754	8674	8599	8679	8626	8694	8789
20	8754	8675	8600	8680	8628	8695	8789
