ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	4106	4062	4079	4054	4006	4079	4104
2	4106	4063	4080	4054	4007	4080	4105
3	4107	4063	4080	4055	4007	4081	4106
4	4108	4064	4079	4054	4007	4079	4107
5	4106	4063	4081	4054	4007	4082	4108
6	4108	4064	4082	4054	4007	4079	4107
7	4109	4065	4083	4056	4008	4083	4104
8	4108	4064	4079	4054	4007	4079	4107
9	4108	4064	4079	4054	4007	4079	4107
10	4106	4065	4079	4054	4008	4083	4104
11	4106	4063	4081	4054	4007	4082	4108
12	4108	4064	4079	4054	4007	4079	4107
13	4106	4063	4080	4054	4007	4080	4105
14	4108	4064	4079	4054	4007	4079	4107
15	4106	4065	4079	4054	4008	4083	4104
16	4106	4063	4081	4054	4007	4082	4108
17	4106	4063	4080	4054	4009	4080	4105
18	4106	4063	4080	4054	4007	4080	4105
19	4106	4065	4079	4054	4008	4083	4104
20	4106	4063	4081	4054	4007	4082	4105
