ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	13080	12994	13039	13135	13056	13078	13196
2	13081	12995	13040	13136	13056	13078	13196
3	13080	12994	13039	13137	13056	13079	13196
4	13081	12995	13040	13136	13056	13078	13196
5	13080	12994	13041	13138	13056	13078	13196
6	13082	12994	13039	13137	13056	13078	13197
7	13082	12994	13039	13137	13056	13078	13197
8	13080	12994	13041	13137	13056	13078	13196
9	13080	12994	13041	13137	13056	13078	13196
10	13082	12994	13039	13137	13056	13078	13197
11	13081	12995	13040	13136	13056	13078	13196
12	13083	12995	13040	13136	13056	13078	13196
13	13080	12994	13041	13138	13056	13078	13196
14	13080	12994	13041	13137	13056	13078	13196
15	13084	12996	13042	13136	13056	13080	13198
16	13080	12994	13041	13137	13056	13078	13196
17	13080	12994	13041	13137	13056	13078	13196
18	13080	12994	13039	13137	13056	13078	13196
19	13080	12994	13039	13137	13056	13078	13196
20	13080	12994	13041	13137	13056	13081	13196
