ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	11492	11389	11390	11482	11438	11495	11585
2	11492	11389	11391	11482	11438	11495	11585
3	11492	11389	11391	11482	11439	11495	11585
4	11492	11390	11391	11482	11438	11495	11585
5	11492	11389	11391	11482	11438	11495	11585
6	11492	11389	11391	11482	11438	11495	11585
7	11493	11389	11392	11483	11440	11495	11585
8	11492	11389	11393	11482	11438	11495	11585
9	11493	11389	11391	11483	11440	11495	11585
10	11493	11389	11391	11483	11440	11495	11585
11	11492	11389	11390	11482	11438	11495	11585
12	11492	11389	11391	11482	11441	11495	11585
13	11492	11390	11391	11482	11438	11495	11585
14	11493	11389	11391	11483	11440	11495	11585
15	11492	11390	11391	11482	11438	11495	11585
16	11492	11389	11391	11482	11442	11495	11585
17	11493	11389	11391	11483	11440	11495	11585
18	11492	11389	11391	11482	11438	11495	11585
19	11492	11389	11391	11482	11438	11495	11585
20	11492	11389	11391	11484	11438	11495	11585
