ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	3069	3025	3064	3027	3001	3001	3069
2	3069	3025	3064	3027	3001	3001	3069
3	3069	3026	3064	3027	3002	3002	3069
4	3069	3027	3064	3027	3003	3002	3069
5	3069	3026	3064	3027	3002	3002	3069
6	3069	3027	3064	3027	3002	3002	3069
7	3069	3026	3064	3027	3002	3002	3069
8	3069	3026	3064	3027	3002	3002	3069
9	3069	3026	3064	3027	3002	3002	3069
10	3069	3028	3064	3027	3003	3002	3069
11	3069	3026	3064	3027	3002	3002	3069
12	3069	3028	3064	3027	3003	3002	3069
13	3069	3027	3064	3027	3002	3002	3069
14	3069	3025	3064	3027	3001	3001	3069
15	3069	3027	3064	3027	3001	3002	3069
16	3069	3025	3064	3027	3001	3001	3069
17	3069	3027	3064	3027	3002	3002	3069
18	3069	3025	3064	3027	3001	3001	3069
19	3069	3027	3064	3028	3002	3002	3069
20	3069	3025	3064	3027	3001	3001	3069
