ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	13608	13543	13569	13708	13585	13600	13733
2	13609	13544	13570	13708	13585	13600	13733
3	13610	13543	13569	13708	13585	13600	13733
4	13610	13543	13569	13708	13585	13600	13733
5	13608	13543	13569	13708	13585	13600	13733
6	13611	13545	13570	13709	13585	13600	13733
7	13610	13543	13569	13708	13585	13601	13733
8	13611	13545	13570	13709	13585	13600	13733
9	13610	13543	13569	13708	13585	13600	13733
10	13609	13546	13570	13708	13585	13602	13733
11	13610	13543	13569	13708	13585	13600	13733
12	13609	13543	13569	13708	13585	13600	13734
13	13609	13544	13570	13708	13585	13602	13733
14	13608	13543	13569	13708	13585	13600	13733
15	13609	13543	13569	13708	13585	13600	13734
16	13609	13544	13570	13708	13585	13600	13733
17	13608	13543	13569	13708	13585	13600	13733
18	13609	13544	13570	13708	13585	13602	13733
19	13609	13544	13570	13708	13585	13602	13733
20	13612	13543	13571	13708	13585	13600	13733
