ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	13444	13368	13412	13539	13439	13450	13571
2	13444	13368	13412	13539	13439	13450	13571
3	13444	13368	13412	13539	13439	13450	13571
4	13445	13369	13413	13539	13440	13451	13572
5	13445	13369	13412	13539	13440	13451	13572
6	13444	13369	13413	13539	13439	13452	13571
7	13446	13368	13412	13539	13439	13453	13571
8	13445	13369	13413	13539	13439	13450	13573
9	13445	13369	13412	13539	13440	13451	13572
10	13447	13370	13412	13539	13439	13450	13571
11	13444	13368	13412	13539	13439	13450	13571
12	13444	13369	13413	13539	13439	13452	13571
13	13448	13371	13412	13539	13439	13450	13571
14	13444	13368	13412	13539	13439	13450	13571
15	13446	13368	13412	13539	13439	13453	13571
16	13444	13368	13412	13539	13439	13450	13571
17	13444	13368	13412	13539	13439	13450	13571
18	13447	13370	13412	13540	13439	13450	13571
19	13448	13371	13412	13539	13439	13450	13571
20	13445	13369	13413	13539	13440	13451	13572
