ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	7649	7552	7555	7578	7529	7598	7675
2	7650	7553	7555	7578	7529	7598	7676
3	7650	7553	7556	7578	7530	7599	7677
4	7650	7553	7556	7578	7530	7599	7677
5	7649	7552	7555	7578	7529	7598	7675
6	7651	7552	7555	7578	7529	7598	7676
7	7649	7552	7555	7578	7529	7598	7675
8	7649	7552	7555	7578	7529	7598	7676
9	7649	7552	7555	7578	7531	7600	7678
10	7651	7552	7555	7578	7529	7598	7676
11	7650	7553	7556	7578	7530	7599	7678
12	7652	7553	7556	7578	7532	7600	7677
13	7650	7552	7556	7578	7533	7599	7679
14	7650	7553	7556	7578	7530	7599	7677
15	7652	7553	7556	7578	7532	7600	7677
16	7650	7553	7556	7578	7530	7599	7677
17	7649	7553	7556	7578	7532	7601	7677
18	7650	7553	7556	7578	7532	7600	7677
19	7649	7552	7555	7578	7529	7598	7676
20	7649	7552	7555	7578	7529	7598	7675
