ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	5303	5255	5250	5263	5206	5278	5324
2	5303	5256	5250	5264	5207	5279	5325
3	5303	5256	5250	5263	5207	5280	5325
4	5303	5256	5251	5265	5207	5280	5325
5	5303	5256	5250	5264	5207	5280	5325
6	5303	5255	5250	5263	5206	5278	5324
7	5303	5256	5250	5263	5207	5280	5325
8	5303	5256	5252	5263	5208	5278	5326
9	5303	5256	5252	5263	5208	5278	5326
10	5303	5256	5250	5264	5207	5279	5325
11	5303	5255	5250	5263	5206	5278	5324
12	5303	5256	5250	5263	5207	5280	5325
13	5303	5256	5250	5265	5207	5280	5325
14	5303	5256	5250	5265	5207	5280	5325
15	5303	5256	5252	5263	5208	5278	5326
16	5303	5256	5250	5263	5207	5280	5325
17	5303	5256	5252	5263	5208	5278	5327
18	5303	5256	5250	5264	5207	5279	5325
19	5303	5256	5250	5263	5207	5280	5325
20	5303	5255	5253	5263	5206	5278	5326
