ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	9856	9752	9701	9780	9754	9790	9873
2	9857	9752	9702	9781	9754	9790	9874
3	9857	9752	9701	9782	9755	9790	9873
4	9858	9752	9701	9780	9754	9790	9873
5	9858	9752	9701	9780	9754	9790	9875
6	9858	9752	9701	9780	9754	9790	9873
7	9856	9752	9701	9780	9754	9790	9873
8	9857	9752	9702	9781	9754	9790	9874
9	9858	9752	9701	9780	9754	9790	9873
10	9859	9753	9702	9781	9754	9790	9874
11	9857	9754	9701	9783	9754	9790	9873
12	9860	9754	9701	9783	9754	9790	9873
13	9858	9752	9701	9780	9754	9790	9873
14	9857	9752	9701	9782	9755	9790	9873
15	9856	9752	9701	9780	9754	9790	9873
16	9856	9752	9701	9780	9754	9790	9873
17	9858	9752	9701	9781	9754	9790	9873
18	9856	9752	9703	9780	9754	9790	9873
19	9860	9754	9701	9783	9754	9790	9873
20	9858	9752	9701	9781	9754	9790	9873
