ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	8338	8263	8186	8252	8209	8282	8353
2	8339	8263	8186	8253	8209	8282	8354
3	8340	8264	8186	8252	8209	8282	8353
4	8338	8263	8186	8252	8209	8282	8353
5	8338	8263	8186	8252	8209	8282	8353
6	8338	8263	8186	8252	8209	8282	8353
7	8338	8263	8186	8252	8210	8282	8353
8	8338	8263	8186	8252	8209	8282	8353
9	8338	8263	8186	8252	8209	8282	8353
10	8340	8264	8186	8252	8209	8282	8353
11	8338	8263	8186	8252	8209	8282	8353
12	8339	8263	8186	8253	8209	8282	8354
13	8339	8263	8186	8253	8209	8282	8354
14	8338	8263	8186	8252	8209	8282	8353
15	8340	8264	8186	8252	8209	8282	8353
16	8338	8263	8186	8252	8209	8282	8353
17	8338	8263	8186	8252	8209	8282	8353
18	8338	8263	8186	8252	8209	8282	8353
19	8339	8263	8186	8253	8209	8282	8354
20	8338	8263	8186	8252	8209	8282	8353
