ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	5785	5721	5709	5727	5676	5760	5807
2	5786	5721	5710	5727	5676	5761	5807
3	5786	5721	5709	5728	5676	5761	5807
4	5786	5722	5709	5727	5677	5761	5807
5	5786	5722	5709	5727	5677	5761	5807
6	5786	5721	5709	5728	5676	5761	5807
7	5786	5722	5709	5727	5676	5761	5807
8	5785	5721	5709	5727	5676	5760	5807
9	5786	5722	5709	5727	5677	5761	5807
10	5786	5722	5709	5727	5677	5761	5807
11	5786	5722	5709	5727	5677	5761	5807
12	5786	5722	5709	5727	5677	5761	5807
13	5786	5722	5709	5727	5676	5761	5807
14	5786	5722	5709	5727	5677	5761	5807
15	5786	5722	5709	5727	5676	5761	5807
16	5786	5721	5709	5729	5676	5761	5808
17	5785	5721	5709	5727	5676	5760	5807
18	5786	5722	5709	5727	5676	5761	5807
19	5786	5721	5709	5728	5676	5761	5807
20	5786	5722	5709	5727	5676	5761	5807
