ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	6682	6606	6632	6605	6545	6670	6737
2	6682	6607	6632	6605	6545	6670	6738
3	6682	6607	6632	6605	6545	6670	6738
4	6682	6608	6633	6606	6545	6671	6739
5	6682	6608	6632	6605	6545	6672	6737
6	6682	6607	6632	6605	6545	6670	6738
7	6682	6608	6634	6605	6545	6673	6739
8	6682	6607	6635	6605	6545	6670	6738
9	6682	6608	6632	6605	6545	6674	6739
10	6682	6607	6632	6605	6545	6670	6740
11	6682	6608	6633	6606	6545	6671	6739
12	6682	6608	6632	6607	6545	6674	6739
13	6682	6608	6636	6605	6545	6674	6739
14	6682	6606	6632	6605	6545	6670	6737
15	6682	6607	6632	6605	6545	6670	6738
16	6682	6608	6634	6605	6545	6675	6739
17	6682	6606	6632	6605	6545	6670	6737
18	6682	6607	6635	6605	6545	6670	6738
19	6682	6608	6634	6605	6545	6675	6739
20	6682	6608	6632	6605	6545	6674	6739
