ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	9339	9257	9190	9267	9222	9294	9376
2	9339	9257	9190	9267	9223	9294	9377
3	9339	9257	9190	9267	9223	9294	9378
4	9339	9257	9190	9267	9223	9294	9377
5	9339	9257	9190	9267	9223	9294	9377
6	9339	9257	9190	9267	9223	9294	9377
7	9339	9257	9190	9268	9223	9294	9377
8	9339	9257	9190	9267	9223	9294	9377
9	9339	9257	9190	9267	9223	9294	9376
10	9339	9257	9190	9267	9223	9294	9376
11	9339	9257	9190	9267	9223	9294	9376
12	9339	9257	9190	9267	9223	9294	9377
13	9339	9257	9190	9267	9223	9294	9377
14	9340	9258	9190	9267	9223	9294	9379
15	9339	9257	9190	9267	9223	9294	9377
16	9339	9257	9190	9267	9223	9294	9378
17	9339	9257	9190	9267	9223	9294	9377
18	9339	9257	9190	9267	9222	9295	9376
19	9339	9257	9190	9267	9223	9294	9377
20	9339	9257	9190	9267	9223	9294	9377
