ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	1580	1562	1597	1577	1547	1552	1587
2	1580	1563	1598	1577	1548	1553	1588
3	1580	1563	1598	1577	1547	1554	1588
4	1580	1563	1598	1577	1547	1554	1588
5	1580	1562	1597	1577	1547	1552	1587
6	1580	1563	1598	1577	1547	1554	1588
7	1580	1562	1597	1577	1547	1552	1587
8	1581	1562	1598	1577	1548	1555	1588
9	1580	1562	1597	1577	1547	1552	1587
10	1580	1563	1598	1578	1549	1556	1588
11	1580	1564	1598	1577	1548	1557	1589
12	1580	1563	1598	1577	1548	1556	1588
13	1580	1562	1599	1577	1547	1552	1587
14	1580	1562	1597	1577	1547	1552	1587
15	1580	1562	1597	1577	1547	1552	1587
16	1580	1562	1597	1577	1547	1552	1587
17	1580	1564	1600	1577	1547	1554	1588
18	1580	1564	1598	1577	1548	1557	1589
19	1580	1564	1600	1577	1547	1554	1588
20	1580	1562	1597	1577	1547	1552	1587
