ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	7019	6958	6951	6954	6910	7017	7076
2	7019	6958	6951	6954	6910	7017	7076
3	7019	6959	6952	6954	6911	7017	7076
4	7019	6959	6952	6954	6910	7017	7076
5	7019	6960	6952	6954	6912	7017	7076
6	7019	6961	6953	6955	6913	7017	7076
7	7019	6958	6951	6954	6910	7017	7076
8	7019	6961	6953	6955	6913	7017	7076
9	7019	6959	6952	6954	6910	7017	7076
10	7019	6961	6953	6955	6913	7017	7076
11	7019	6961	6953	6955	6913	7017	7076
12	7019	6960	6952	6954	6912	7017	7076
13	7019	6961	6953	6955	6913	7017	7076
14	7019	6960	6952	6954	6912	7017	7076
15	7019	6959	6952	6954	6910	7017	7076
16	7019	6959	6952	6954	6910	7017	7076
17	7019	6959	6952	6954	6910	7017	7076
18	7019	6959	6952	6954	6910	7017	7076
19	7020	6959	6952	6954	6910	7017	7076
20	7019	6961	6953	6955	6913	7017	7076
