ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	8405	8317	8244	8317	8265	8345	8398
2	8406	8318	8244	8317	8265	8345	8399
3	8407	8319	8245	8318	8265	8346	8400
4	8407	8319	8245	8318	8265	8346	8400
5	8406	8318	8244	8317	8266	8345	8401
6	8405	8317	8244	8317	8265	8345	8398
7	8405	8317	8244	8317	8265	8345	8398
8	8406	8318	8244	8317	8266	8345	8401
9	8406	8318	8244	8317	8266	8345	8401
10	8406	8318	8244	8317	8265	8345	8399
11	8407	8319	8245	8318	8265	8346	8400
12	8405	8319	8244	8318	8265	8346	8400
13	8406	8318	8244	8317	8266	8345	8401
14	8407	8319	8245	8318	8265	8346	8400
15	8406	8318	8244	8317	8266	8345	8401
16	8407	8319	8245	8318	8265	8346	8400
17	8406	8318	8244	8317	8266	8345	8401
18	8407	8319	8245	8318	8265	8346	8400
19	8406	8318	8244	8317	8265	8345	8399
20	8406	8319	8244	8317	8265	8347	8399
