ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	8837	8748	8681	8760	8711	8767	8864
2	8838	8748	8682	8761	8712	8768	8865
3	8837	8748	8681	8760	8711	8767	8864
4	8838	8748	8682	8761	8712	8768	8865
5	8837	8749	8683	8760	8712	8769	8866
6	8837	8749	8683	8760	8712	8769	8866
7	8839	8749	8682	8761	8711	8767	8864
8	8837	8748	8681	8760	8711	8767	8864
9	8837	8748	8681	8760	8711	8767	8864
10	8838	8748	8682	8761	8712	8768	8865
11	8837	8749	8683	8760	8712	8769	8866
12	8837	8749	8683	8760	8712	8769	8866
13	8837	8749	8682	8761	8711	8767	8864
14	8837	8749	8682	8761	8711	8767	8864
15	8837	8749	8682	8761	8711	8767	8864
16	8837	8748	8681	8760	8711	8767	8864
17	8837	8749	8683	8760	8712	8769	8866
18	8837	8749	8683	8760	8712	8769	8866
19	8837	8749	8683	8760	8712	8769	8866
20	8837	8749	8683	8760	8712	8769	8866
