ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	4816	4767	4771	4775	4729	4754	4819
2	4816	4767	4771	4775	4730	4754	4820
3	4816	4767	4771	4775	4731	4754	4819
4	4816	4767	4771	4775	4729	4755	4819
5	4816	4767	4771	4775	4730	4754	4820
6	4816	4767	4771	4775	4729	4754	4819
7	4817	4768	4772	4776	4729	4756	4820
8	4816	4769	4771	4775	4730	4754	4820
9	4816	4767	4771	4775	4730	4754	4821
10	4816	4767	4771	4775	4730	4754	4820
11	4818	4770	4773	4776	4729	4757	4820
12	4819	4767	4771	4775	4729	4755	4819
13	4818	4770	4773	4776	4729	4757	4820
14	4818	4770	4773	4776	4729	4757	4820
15	4820	4771	4771	4775	4730	4757	4822
16	4818	4770	4773	4776	4729	4757	4820
17	4816	4767	4771	4775	4732	4757	4819
18	4816	4767	4771	4775	4730	4754	4820
19	4818	4770	4773	4776	4729	4757	4820
20	4816	4767	4771	4775	4729	4754	4819
