ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	3142	3103	3147	3104	3071	3074	3143
2	3142	3103	3147	3105	3071	3075	3144
3	3142	3103	3147	3106	3071	3075	3144
4	3143	3104	3147	3106	3071	3074	3144
5	3142	3104	3147	3106	3071	3074	3144
6	3142	3105	3147	3104	3071	3074	3143
7	3144	3103	3147	3106	3071	3074	3143
8	3142	3103	3147	3105	3071	3075	3144
9	3142	3103	3147	3105	3071	3075	3144
10	3142	3103	3147	3106	3071	3074	3143
11	3142	3104	3147	3106	3071	3075	3144
12	3142	3103	3148	3106	3072	3076	3144
13	3142	3103	3147	3105	3071	3075	3144
14	3142	3103	3147	3104	3071	3074	3143
15	3142	3103	3147	3104	3071	3074	3143
16	3142	3103	3147	3106	3071	3075	3144
17	3143	3104	3147	3106	3071	3074	3144
18	3142	3103	3147	3105	3071	3075	3144
19	3142	3104	3147	3106	3071	3074	3144
20	3142	3103	3147	3104	3071	3074	3143
