ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	3803	3777	3777	3771	3701	3794	3798
2	3804	3778	3778	3772	3701	3794	3798
3	3804	3778	3778	3772	3701	3794	3798
4	3804	3778	3778	3772	3701	3794	3799
5	3804	3778	3778	3772	3701	3794	3798
6	3804	3778	3778	3772	3701	3794	3799
7	3804	3778	3778	3772	3701	3794	3798
8	3804	3778	3779	3773	3701	3794	3798
9	3804	3778	3778	3772	3701	3794	3799
10	3804	3779	3780	3772	3701	3794	3798
11	3804	3778	3778	3772	3701	3794	3798
12	3804	3778	3778	3772	3701	3794	3798
13	3804	3778	3778	3772	3701	3794	3798
14	3804	3778	3781	3772	3701	3794	3799
15	3803	3777	3777	3771	3701	3795	3798
16	3803	3777	3777	3771	3701	3794	3798
17	3804	3778	3778	3772	3701	3794	3799
18	3804	3778	3778	3772	3701	3794	3798
19	3804	3778	3778	3772	3701	3794	3798
20	3803	3777	3777	3771	3701	3794	3798
