ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	2758	2721	2747	2712	2663	2653	2723
2	2758	2721	2747	2712	2664	2653	2724
3	2758	2721	2747	2712	2663	2653	2723
4	2758	2721	2748	2712	2664	2654	2724
5	2758	2721	2749	2713	2665	2655	2724
6	2758	2721	2747	2712	2664	2653	2724
7	2758	2721	2750	2712	2663	2653	2723
8	2758	2721	2747	2712	2663	2653	2723
9	2758	2721	2747	2712	2664	2653	2724
10	2758	2721	2750	2712	2663	2653	2723
11	2758	2721	2747	2712	2664	2653	2724
12	2758	2721	2747	2712	2663	2653	2723
13	2758	2721	2747	2712	2664	2653	2724
14	2758	2721	2747	2712	2663	2653	2723
15	2758	2721	2749	2713	2665	2655	2724
16	2758	2721	2748	2712	2664	2654	2724
17	2758	2721	2747	2712	2663	2653	2723
18	2758	2721	2747	2712	2663	2653	2723
19	2758	2721	2748	2712	2664	2654	2724
20	2758	2721	2747	2712	2664	2653	2724
