ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	9953	9869	9813	9881	9870	9892	9978
2	9953	9869	9814	9882	9871	9893	9979
3	9954	9869	9814	9882	9871	9893	9978
4	9954	9870	9814	9882	9871	9894	9979
5	9953	9871	9815	9881	9871	9895	9980
6	9953	9869	9814	9882	9871	9896	9979
7	9953	9869	9814	9882	9871	9894	9979
8	9953	9869	9814	9883	9871	9894	9979
9	9953	9869	9814	9882	9871	9893	9979
10	9953	9871	9815	9881	9871	9897	9980
11	9953	9869	9814	9882	9871	9894	9979
12	9954	9869	9814	9882	9871	9893	9978
13	9953	9869	9813	9881	9870	9892	9978
14	9955	9869	9814	9882	9871	9893	9978
15	9956	9872	9814	9882	9871	9894	9979
16	9953	9869	9814	9882	9871	9893	9979
17	9953	9869	9814	9882	9872	9893	9979
18	9953	9869	9814	9882	9871	9893	9979
19	9953	9873	9814	9882	9871	9893	9979
20	9953	9871	9815	9881	9871	9895	9981
