ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	4786	4736	4744	4746	4703	4720	4790
2	4786	4737	4745	4747	4703	4721	4791
3	4786	4737	4745	4747	4703	4720	4791
4	4786	4737	4745	4747	4703	4721	4791
5	4786	4737	4745	4747	4703	4722	4791
6	4787	4737	4744	4746	4703	4720	4791
7	4786	4737	4745	4747	4703	4720	4791
8	4786	4737	4745	4747	4703	4722	4791
9	4786	4737	4746	4747	4703	4720	4791
10	4787	4737	4744	4746	4703	4720	4791
11	4786	4737	4745	4747	4703	4720	4791
12	4786	4737	4745	4747	4703	4720	4791
13	4787	4737	4744	4746	4703	4720	4791
14	4787	4737	4744	4746	4704	4720	4791
15	4786	4737	4745	4747	4703	4723	4791
16	4786	4737	4746	4747	4703	4720	4791
17	4788	4737	4745	4748	4703	4723	4791
18	4786	4737	4745	4747	4703	4720	4791
19	4786	4737	4746	4747	4703	4720	4791
20	4786	4737	4745	4747	4703	4720	4791
