ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	11648	11553	11577	11659	11601	11657	11744
2	11648	11554	11577	11660	11601	11657	11744
3	11648	11555	11577	11659	11601	11657	11744
4	11649	11556	11578	11661	11602	11658	11745
5	11648	11555	11577	11659	11601	11657	11744
6	11648	11555	11577	11659	11601	11657	11744
7	11648	11553	11577	11659	11601	11657	11744
8	11648	11555	11577	11659	11601	11657	11744
9	11648	11555	11577	11659	11601	11657	11744
10	11648	11555	11577	11659	11601	11657	11744
11	11648	11557	11577	11659	11601	11657	11744
12	11650	11556	11578	11661	11602	11657	11746
13	11649	11556	11578	11661	11602	11658	11745
14	11650	11556	11578	11661	11602	11657	11747
15	11648	11555	11577	11659	11601	11657	11744
16	11650	11556	11578	11661	11602	11657	11746
17	11650	11556	11578	11661	11602	11657	11747
18	11648	11558	11577	11659	11601	11657	11744
19	11649	11556	11578	11661	11602	11658	11745
20	11649	11556	11578	11661	11602	11658	11745
