ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	11218	11105	11106	11211	11152	11189	11304
2	11218	11106	11106	11211	11153	11190	11304
3	11218	11105	11106	11211	11152	11189	11304
4	11218	11107	11107	11211	11152	11189	11304
5	11218	11106	11106	11211	11154	11190	11304
6	11218	11105	11106	11211	11152	11189	11304
7	11218	11106	11106	11211	11155	11191	11305
8	11218	11106	11106	11211	11154	11190	11304
9	11218	11106	11106	11211	11154	11190	11304
10	11218	11107	11106	11211	11154	11190	11306
11	11218	11106	11106	11211	11154	11190	11304
12	11218	11105	11106	11211	11152	11189	11304
13	11218	11105	11106	11211	11152	11189	11304
14	11218	11107	11106	11211	11156	11192	11304
15	11218	11105	11106	11211	11152	11189	11304
16	11218	11107	11108	11211	11152	11189	11304
17	11218	11106	11106	11211	11154	11190	11304
18	11218	11107	11106	11211	11156	11192	11304
19	11218	11106	11106	11211	11153	11190	11304
20	11218	11107	11106	11211	11152	11189	11304
