ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	4473	4423	4450	4422	4383	4431	4485
2	4474	4423	4450	4423	4384	4431	4485
3	4474	4423	4450	4423	4384	4432	4485
4	4475	4423	4450	4423	4384	4433	4486
5	4476	4423	4450	4423	4384	4432	4485
6	4474	4423	4450	4423	4384	4431	4485
7	4475	4423	4450	4423	4384	4433	4486
8	4474	4423	4450	4423	4384	4431	4485
9	4477	4424	4451	4423	4385	4432	4487
10	4474	4423	4450	4423	4384	4431	4485
11	4474	4423	4450	4423	4384	4432	4485
12	4477	4424	4451	4423	4385	4432	4485
13	4477	4424	4451	4423	4385	4432	4487
14	4474	4423	4450	4423	4384	4431	4485
15	4477	4423	4451	4424	4384	4432	4486
16	4475	4423	4450	4423	4384	4431	4485
17	4475	4423	4450	4423	4384	4431	4486
18	4474	4423	4450	4423	4384	4431	4485
19	4474	4423	4450	4423	4384	4431	4485
20	4474	4423	4450	4423	4384	4431	4485
