ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	9113	9022	8945	9038	8972	9066	9135
2	9113	9022	8945	9038	8972	9066	9135
3	9114	9023	8946	9038	8973	9067	9136
4	9113	9022	8945	9038	8973	9066	9135
5	9114	9024	8946	9039	8974	9068	9137
6	9114	9023	8946	9038	8973	9066	9136
7	9114	9024	8946	9038	8973	9066	9136
8	9113	9025	8947	9038	8973	9066	9135
9	9114	9023	8946	9038	8973	9066	9136
10	9113	9022	8947	9038	8973	9066	9135
11	9114	9023	8946	9038	8973	9066	9136
12	9114	9024	8946	9039	8974	9068	9137
13	9114	9024	8946	9039	8974	9068	9137
14	9113	9022	8947	9038	8973	9066	9135
15	9114	9024	8946	9039	8974	9068	9137
16	9114	9024	8946	9038	8973	9066	9137
17	9113	9022	8947	9038	8973	9066	9135
18	9114	9024	8946	9039	8974	9068	9137
19	9114	9024	8946	9038	8973	9066	9136
20	9113	9022	8947	9038	8973	9066	9135
