ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	2145	2125	2135	2114	2050	2046	2119
2	2146	2125	2136	2115	2050	2046	2119
3	2145	2125	2137	2115	2050	2047	2120
4	2145	2125	2135	2116	2050	2046	2121
5	2147	2126	2138	2115	2051	2048	2122
6	2145	2125	2136	2115	2050	2046	2119
7	2147	2126	2138	2115	2051	2048	2122
8	2148	2125	2138	2115	2050	2046	2119
9	2145	2125	2135	2114	2050	2046	2119
10	2145	2125	2135	2114	2050	2046	2119
11	2149	2125	2135	2115	2050	2046	2119
12	2145	2125	2136	2115	2050	2046	2119
13	2145	2125	2136	2115	2050	2046	2119
14	2145	2125	2136	2115	2050	2046	2119
15	2147	2126	2138	2115	2051	2048	2122
16	2150	2126	2138	2115	2051	2048	2122
17	2148	2125	2138	2115	2050	2046	2119
18	2148	2125	2138	2115	2050	2046	2119
19	2149	2127	2135	2115	2050	2046	2119
20	2145	2125	2136	2115	2050	2046	2119
