ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	148681	148681	148681	148681	148681	148681	148681
2	148682	148682	148682	148682	148682	148682	148682
3	148683	148683	148683	148683	148683	148683	148683
4	148684	148684	148684	148684	148684	148684	148684
5	148685	148685	148685	148685	148685	148685	148685
6	148686	148686	148686	148686	148686	148686	148686
7	148687	148687	148687	148687	148687	148687	148687
8	148688	148688	148688	148688	148688	148688	148688
9	148689	148689	148689	148689	148689	148689	148689
10	148690	148690	148690	148690	148690	148690	148690
11	148691	148691	148691	148691	148691	148691	148691
12	148692	148692	148692	148692	148692	148692	148692
13	148693	148693	148693	148693	148693	148693	148693
14	148694	148694	148694	148694	148694	148694	148694
15	148695	148695	148695	148695	148695	148695	148695
16	148696	148696	148696	148696	148696	148696	148696
17	148697	148697	148697	148697	148697	148697	148697
18	148698	148698	148698	148698	148698	148698	148698
19	148699	148699	148699	148699	148699	148699	148699
20	148700	148700	148700	148700	148700	148700	148700
