ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	128161	128161	128161	128161	128161	128161	128161
2	128162	128162	128162	128162	128162	128162	128162
3	128163	128163	128163	128163	128163	128163	128163
4	128164	128164	128164	128164	128164	128164	128164
5	128165	128165	128165	128165	128165	128165	128165
6	128166	128166	128166	128166	128166	128166	128166
7	128167	128167	128167	128167	128167	128167	128167
8	128168	128168	128168	128168	128168	128168	128168
9	128169	128169	128169	128169	128169	128169	128169
10	128170	128170	128170	128170	128170	128170	128170
11	128171	128171	128171	128171	128171	128171	128171
12	128172	128172	128172	128172	128172	128172	128172
13	128173	128173	128173	128173	128173	128173	128173
14	128174	128174	128174	128174	128174	128174	128174
15	128175	128175	128175	128175	128175	128175	128175
16	128176	128176	128176	128176	128176	128176	128176
17	128177	128177	128177	128177	128177	128177	128177
18	128178	128178	128178	128178	128178	128178	128178
19	128179	128179	128179	128179	128179	128179	128179
20	128180	128180	128180	128180	128180	128180	128180
