ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	70461	70461	70461	70461	70461	70461	70461
2	70462	70462	70462	70462	70462	70462	70462
3	70463	70463	70463	70463	70463	70463	70463
4	70464	70464	70464	70464	70464	70464	70464
5	70465	70465	70465	70465	70465	70465	70465
6	70466	70466	70466	70466	70466	70466	70466
7	70467	70467	70467	70467	70467	70467	70467
8	70468	70468	70468	70468	70468	70468	70468
9	70469	70469	70469	70469	70469	70469	70469
10	70470	70470	70470	70470	70470	70470	70470
11	70471	70471	70471	70471	70471	70471	70471
12	70472	70472	70472	70472	70472	70472	70472
13	70473	70473	70473	70473	70473	70473	70473
14	70474	70474	70474	70474	70474	70474	70474
15	70475	70475	70475	70475	70475	70475	70475
16	70476	70476	70476	70476	70476	70476	70476
17	70477	70477	70477	70477	70477	70477	70477
18	70478	70478	70478	70478	70478	70478	70478
19	70479	70479	70479	70479	70479	70479	70479
20	70480	70480	70480	70480	70480	70480	70480
