ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	14101	14101	14101	14101	14101	14101	14101
2	14102	14102	14102	14102	14102	14102	14102
3	14103	14103	14103	14103	14103	14103	14103
4	14104	14104	14104	14104	14104	14104	14104
5	14105	14105	14105	14105	14105	14105	14105
6	14106	14106	14106	14106	14106	14106	14106
7	14107	14107	14107	14107	14107	14107	14107
8	14108	14108	14108	14108	14108	14108	14108
9	14109	14109	14109	14109	14109	14109	14109
10	14110	14110	14110	14110	14110	14110	14110
11	14111	14111	14111	14111	14111	14111	14111
12	14112	14112	14112	14112	14112	14112	14112
13	14113	14113	14113	14113	14113	14113	14113
14	14114	14114	14114	14114	14114	14114	14114
15	14115	14115	14115	14115	14115	14115	14115
16	14116	14116	14116	14116	14116	14116	14116
17	14117	14117	14117	14117	14117	14117	14117
18	14118	14118	14118	14118	14118	14118	14118
19	14119	14119	14119	14119	14119	14119	14119
20	14120	14120	14120	14120	14120	14120	14120
