ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	118821	118821	118821	118821	118821	118821	118821
2	118822	118822	118822	118822	118822	118822	118822
3	118823	118823	118823	118823	118823	118823	118823
4	118824	118824	118824	118824	118824	118824	118824
5	118825	118825	118825	118825	118825	118825	118825
6	118826	118826	118826	118826	118826	118826	118826
7	118827	118827	118827	118827	118827	118827	118827
8	118828	118828	118828	118828	118828	118828	118828
9	118829	118829	118829	118829	118829	118829	118829
10	118830	118830	118830	118830	118830	118830	118830
11	118831	118831	118831	118831	118831	118831	118831
12	118832	118832	118832	118832	118832	118832	118832
13	118833	118833	118833	118833	118833	118833	118833
14	118834	118834	118834	118834	118834	118834	118834
15	118835	118835	118835	118835	118835	118835	118835
16	118836	118836	118836	118836	118836	118836	118836
17	118837	118837	118837	118837	118837	118837	118837
18	118838	118838	118838	118838	118838	118838	118838
19	118839	118839	118839	118839	118839	118839	118839
20	118840	118840	118840	118840	118840	118840	118840
