ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	182261	182261	182261	182261	182261	182261	182261
2	182262	182262	182262	182262	182262	182262	182262
3	182263	182263	182263	182263	182263	182263	182263
4	182264	182264	182264	182264	182264	182264	182264
5	182265	182265	182265	182265	182265	182265	182265
6	182266	182266	182266	182266	182266	182266	182266
7	182267	182267	182267	182267	182267	182267	182267
8	182268	182268	182268	182268	182268	182268	182268
9	182269	182269	182269	182269	182269	182269	182269
10	182270	182270	182270	182270	182270	182270	182270
11	182271	182271	182271	182271	182271	182271	182271
12	182272	182272	182272	182272	182272	182272	182272
13	182273	182273	182273	182273	182273	182273	182273
14	182274	182274	182274	182274	182274	182274	182274
15	182275	182275	182275	182275	182275	182275	182275
16	182276	182276	182276	182276	182276	182276	182276
17	182277	182277	182277	182277	182277	182277	182277
18	182278	182278	182278	182278	182278	182278	182278
19	182279	182279	182279	182279	182279	182279	182279
20	182280	182280	182280	182280	182280	182280	182280
