ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	162621	162621	162621	162621	162621	162621	162621
2	162622	162622	162622	162622	162622	162622	162622
3	162623	162623	162623	162623	162623	162623	162623
4	162624	162624	162624	162624	162624	162624	162624
5	162625	162625	162625	162625	162625	162625	162625
6	162626	162626	162626	162626	162626	162626	162626
7	162627	162627	162627	162627	162627	162627	162627
8	162628	162628	162628	162628	162628	162628	162628
9	162629	162629	162629	162629	162629	162629	162629
10	162630	162630	162630	162630	162630	162630	162630
11	162631	162631	162631	162631	162631	162631	162631
12	162632	162632	162632	162632	162632	162632	162632
13	162633	162633	162633	162633	162633	162633	162633
14	162634	162634	162634	162634	162634	162634	162634
15	162635	162635	162635	162635	162635	162635	162635
16	162636	162636	162636	162636	162636	162636	162636
17	162637	162637	162637	162637	162637	162637	162637
18	162638	162638	162638	162638	162638	162638	162638
19	162639	162639	162639	162639	162639	162639	162639
20	162640	162640	162640	162640	162640	162640	162640
