ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	180821	180821	180821	180821	180821	180821	180821
2	180822	180822	180822	180822	180822	180822	180822
3	180823	180823	180823	180823	180823	180823	180823
4	180824	180824	180824	180824	180824	180824	180824
5	180825	180825	180825	180825	180825	180825	180825
6	180826	180826	180826	180826	180826	180826	180826
7	180827	180827	180827	180827	180827	180827	180827
8	180828	180828	180828	180828	180828	180828	180828
9	180829	180829	180829	180829	180829	180829	180829
10	180830	180830	180830	180830	180830	180830	180830
11	180831	180831	180831	180831	180831	180831	180831
12	180832	180832	180832	180832	180832	180832	180832
13	180833	180833	180833	180833	180833	180833	180833
14	180834	180834	180834	180834	180834	180834	180834
15	180835	180835	180835	180835	180835	180835	180835
16	180836	180836	180836	180836	180836	180836	180836
17	180837	180837	180837	180837	180837	180837	180837
18	180838	180838	180838	180838	180838	180838	180838
19	180839	180839	180839	180839	180839	180839	180839
20	180840	180840	180840	180840	180840	180840	180840
