ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	89101	89101	89101	89101	89101	89101	89101
2	89102	89102	89102	89102	89102	89102	89102
3	89103	89103	89103	89103	89103	89103	89103
4	89104	89104	89104	89104	89104	89104	89104
5	89105	89105	89105	89105	89105	89105	89105
6	89106	89106	89106	89106	89106	89106	89106
7	89107	89107	89107	89107	89107	89107	89107
8	89108	89108	89108	89108	89108	89108	89108
9	89109	89109	89109	89109	89109	89109	89109
10	89110	89110	89110	89110	89110	89110	89110
11	89111	89111	89111	89111	89111	89111	89111
12	89112	89112	89112	89112	89112	89112	89112
13	89113	89113	89113	89113	89113	89113	89113
14	89114	89114	89114	89114	89114	89114	89114
15	89115	89115	89115	89115	89115	89115	89115
16	89116	89116	89116	89116	89116	89116	89116
17	89117	89117	89117	89117	89117	89117	89117
18	89118	89118	89118	89118	89118	89118	89118
19	89119	89119	89119	89119	89119	89119	89119
20	89120	89120	89120	89120	89120	89120	89120
