ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	19161	19161	19161	19161	19161	19161	19161
2	19162	19162	19162	19162	19162	19162	19162
3	19163	19163	19163	19163	19163	19163	19163
4	19164	19164	19164	19164	19164	19164	19164
5	19165	19165	19165	19165	19165	19165	19165
6	19166	19166	19166	19166	19166	19166	19166
7	19167	19167	19167	19167	19167	19167	19167
8	19168	19168	19168	19168	19168	19168	19168
9	19169	19169	19169	19169	19169	19169	19169
10	19170	19170	19170	19170	19170	19170	19170
11	19171	19171	19171	19171	19171	19171	19171
12	19172	19172	19172	19172	19172	19172	19172
13	19173	19173	19173	19173	19173	19173	19173
14	19174	19174	19174	19174	19174	19174	19174
15	19175	19175	19175	19175	19175	19175	19175
16	19176	19176	19176	19176	19176	19176	19176
17	19177	19177	19177	19177	19177	19177	19177
18	19178	19178	19178	19178	19178	19178	19178
19	19179	19179	19179	19179	19179	19179	19179
20	19180	19180	19180	19180	19180	19180	19180
