ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	156821	156821	156821	156821	156821	156821	156821
2	156822	156822	156822	156822	156822	156822	156822
3	156823	156823	156823	156823	156823	156823	156823
4	156824	156824	156824	156824	156824	156824	156824
5	156825	156825	156825	156825	156825	156825	156825
6	156826	156826	156826	156826	156826	156826	156826
7	156827	156827	156827	156827	156827	156827	156827
8	156828	156828	156828	156828	156828	156828	156828
9	156829	156829	156829	156829	156829	156829	156829
10	156830	156830	156830	156830	156830	156830	156830
11	156831	156831	156831	156831	156831	156831	156831
12	156832	156832	156832	156832	156832	156832	156832
13	156833	156833	156833	156833	156833	156833	156833
14	156834	156834	156834	156834	156834	156834	156834
15	156835	156835	156835	156835	156835	156835	156835
16	156836	156836	156836	156836	156836	156836	156836
17	156837	156837	156837	156837	156837	156837	156837
18	156838	156838	156838	156838	156838	156838	156838
19	156839	156839	156839	156839	156839	156839	156839
20	156840	156840	156840	156840	156840	156840	156840
