ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	71881	71881	71881	71881	71881	71881	71881
2	71882	71882	71882	71882	71882	71882	71882
3	71883	71883	71883	71883	71883	71883	71883
4	71884	71884	71884	71884	71884	71884	71884
5	71885	71885	71885	71885	71885	71885	71885
6	71886	71886	71886	71886	71886	71886	71886
7	71887	71887	71887	71887	71887	71887	71887
8	71888	71888	71888	71888	71888	71888	71888
9	71889	71889	71889	71889	71889	71889	71889
10	71890	71890	71890	71890	71890	71890	71890
11	71891	71891	71891	71891	71891	71891	71891
12	71892	71892	71892	71892	71892	71892	71892
13	71893	71893	71893	71893	71893	71893	71893
14	71894	71894	71894	71894	71894	71894	71894
15	71895	71895	71895	71895	71895	71895	71895
16	71896	71896	71896	71896	71896	71896	71896
17	71897	71897	71897	71897	71897	71897	71897
18	71898	71898	71898	71898	71898	71898	71898
19	71899	71899	71899	71899	71899	71899	71899
20	71900	71900	71900	71900	71900	71900	71900
