ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	196201	196201	196201	196201	196201	196201	196201
2	196202	196202	196202	196202	196202	196202	196202
3	196203	196203	196203	196203	196203	196203	196203
4	196204	196204	196204	196204	196204	196204	196204
5	196205	196205	196205	196205	196205	196205	196205
6	196206	196206	196206	196206	196206	196206	196206
7	196207	196207	196207	196207	196207	196207	196207
8	196208	196208	196208	196208	196208	196208	196208
9	196209	196209	196209	196209	196209	196209	196209
10	196210	196210	196210	196210	196210	196210	196210
11	196211	196211	196211	196211	196211	196211	196211
12	196212	196212	196212	196212	196212	196212	196212
13	196213	196213	196213	196213	196213	196213	196213
14	196214	196214	196214	196214	196214	196214	196214
15	196215	196215	196215	196215	196215	196215	196215
16	196216	196216	196216	196216	196216	196216	196216
17	196217	196217	196217	196217	196217	196217	196217
18	196218	196218	196218	196218	196218	196218	196218
19	196219	196219	196219	196219	196219	196219	196219
20	196220	196220	196220	196220	196220	196220	196220
