ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	61821	61821	61821	61821	61821	61821	61821
2	61822	61822	61822	61822	61822	61822	61822
3	61823	61823	61823	61823	61823	61823	61823
4	61824	61824	61824	61824	61824	61824	61824
5	61825	61825	61825	61825	61825	61825	61825
6	61826	61826	61826	61826	61826	61826	61826
7	61827	61827	61827	61827	61827	61827	61827
8	61828	61828	61828	61828	61828	61828	61828
9	61829	61829	61829	61829	61829	61829	61829
10	61830	61830	61830	61830	61830	61830	61830
11	61831	61831	61831	61831	61831	61831	61831
12	61832	61832	61832	61832	61832	61832	61832
13	61833	61833	61833	61833	61833	61833	61833
14	61834	61834	61834	61834	61834	61834	61834
15	61835	61835	61835	61835	61835	61835	61835
16	61836	61836	61836	61836	61836	61836	61836
17	61837	61837	61837	61837	61837	61837	61837
18	61838	61838	61838	61838	61838	61838	61838
19	61839	61839	61839	61839	61839	61839	61839
20	61840	61840	61840	61840	61840	61840	61840
