ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	15421	15421	15421	15421	15421	15421	15421
2	15422	15422	15422	15422	15422	15422	15422
3	15423	15423	15423	15423	15423	15423	15423
4	15424	15424	15424	15424	15424	15424	15424
5	15425	15425	15425	15425	15425	15425	15425
6	15426	15426	15426	15426	15426	15426	15426
7	15427	15427	15427	15427	15427	15427	15427
8	15428	15428	15428	15428	15428	15428	15428
9	15429	15429	15429	15429	15429	15429	15429
10	15430	15430	15430	15430	15430	15430	15430
11	15431	15431	15431	15431	15431	15431	15431
12	15432	15432	15432	15432	15432	15432	15432
13	15433	15433	15433	15433	15433	15433	15433
14	15434	15434	15434	15434	15434	15434	15434
15	15435	15435	15435	15435	15435	15435	15435
16	15436	15436	15436	15436	15436	15436	15436
17	15437	15437	15437	15437	15437	15437	15437
18	15438	15438	15438	15438	15438	15438	15438
19	15439	15439	15439	15439	15439	15439	15439
20	15440	15440	15440	15440	15440	15440	15440
