ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	86701	86701	86701	86701	86701	86701	86701
2	86702	86702	86702	86702	86702	86702	86702
3	86703	86703	86703	86703	86703	86703	86703
4	86704	86704	86704	86704	86704	86704	86704
5	86705	86705	86705	86705	86705	86705	86705
6	86706	86706	86706	86706	86706	86706	86706
7	86707	86707	86707	86707	86707	86707	86707
8	86708	86708	86708	86708	86708	86708	86708
9	86709	86709	86709	86709	86709	86709	86709
10	86710	86710	86710	86710	86710	86710	86710
11	86711	86711	86711	86711	86711	86711	86711
12	86712	86712	86712	86712	86712	86712	86712
13	86713	86713	86713	86713	86713	86713	86713
14	86714	86714	86714	86714	86714	86714	86714
15	86715	86715	86715	86715	86715	86715	86715
16	86716	86716	86716	86716	86716	86716	86716
17	86717	86717	86717	86717	86717	86717	86717
18	86718	86718	86718	86718	86718	86718	86718
19	86719	86719	86719	86719	86719	86719	86719
20	86720	86720	86720	86720	86720	86720	86720
