ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	176581	176581	176581	176581	176581	176581	176581
2	176582	176582	176582	176582	176582	176582	176582
3	176583	176583	176583	176583	176583	176583	176583
4	176584	176584	176584	176584	176584	176584	176584
5	176585	176585	176585	176585	176585	176585	176585
6	176586	176586	176586	176586	176586	176586	176586
7	176587	176587	176587	176587	176587	176587	176587
8	176588	176588	176588	176588	176588	176588	176588
9	176589	176589	176589	176589	176589	176589	176589
10	176590	176590	176590	176590	176590	176590	176590
11	176591	176591	176591	176591	176591	176591	176591
12	176592	176592	176592	176592	176592	176592	176592
13	176593	176593	176593	176593	176593	176593	176593
14	176594	176594	176594	176594	176594	176594	176594
15	176595	176595	176595	176595	176595	176595	176595
16	176596	176596	176596	176596	176596	176596	176596
17	176597	176597	176597	176597	176597	176597	176597
18	176598	176598	176598	176598	176598	176598	176598
19	176599	176599	176599	176599	176599	176599	176599
20	176600	176600	176600	176600	176600	176600	176600
