ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	18021	18021	18021	18021	18021	18021	18021
2	18022	18022	18022	18022	18022	18022	18022
3	18023	18023	18023	18023	18023	18023	18023
4	18024	18024	18024	18024	18024	18024	18024
5	18025	18025	18025	18025	18025	18025	18025
6	18026	18026	18026	18026	18026	18026	18026
7	18027	18027	18027	18027	18027	18027	18027
8	18028	18028	18028	18028	18028	18028	18028
9	18029	18029	18029	18029	18029	18029	18029
10	18030	18030	18030	18030	18030	18030	18030
11	18031	18031	18031	18031	18031	18031	18031
12	18032	18032	18032	18032	18032	18032	18032
13	18033	18033	18033	18033	18033	18033	18033
14	18034	18034	18034	18034	18034	18034	18034
15	18035	18035	18035	18035	18035	18035	18035
16	18036	18036	18036	18036	18036	18036	18036
17	18037	18037	18037	18037	18037	18037	18037
18	18038	18038	18038	18038	18038	18038	18038
19	18039	18039	18039	18039	18039	18039	18039
20	18040	18040	18040	18040	18040	18040	18040
