ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	82541	82541	82541	82541	82541	82541	82541
2	82542	82542	82542	82542	82542	82542	82542
3	82543	82543	82543	82543	82543	82543	82543
4	82544	82544	82544	82544	82544	82544	82544
5	82545	82545	82545	82545	82545	82545	82545
6	82546	82546	82546	82546	82546	82546	82546
7	82547	82547	82547	82547	82547	82547	82547
8	82548	82548	82548	82548	82548	82548	82548
9	82549	82549	82549	82549	82549	82549	82549
10	82550	82550	82550	82550	82550	82550	82550
11	82551	82551	82551	82551	82551	82551	82551
12	82552	82552	82552	82552	82552	82552	82552
13	82553	82553	82553	82553	82553	82553	82553
14	82554	82554	82554	82554	82554	82554	82554
15	82555	82555	82555	82555	82555	82555	82555
16	82556	82556	82556	82556	82556	82556	82556
17	82557	82557	82557	82557	82557	82557	82557
18	82558	82558	82558	82558	82558	82558	82558
19	82559	82559	82559	82559	82559	82559	82559
20	82560	82560	82560	82560	82560	82560	82560
