ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	166341	166341	166341	166341	166341	166341	166341
2	166342	166342	166342	166342	166342	166342	166342
3	166343	166343	166343	166343	166343	166343	166343
4	166344	166344	166344	166344	166344	166344	166344
5	166345	166345	166345	166345	166345	166345	166345
6	166346	166346	166346	166346	166346	166346	166346
7	166347	166347	166347	166347	166347	166347	166347
8	166348	166348	166348	166348	166348	166348	166348
9	166349	166349	166349	166349	166349	166349	166349
10	166350	166350	166350	166350	166350	166350	166350
11	166351	166351	166351	166351	166351	166351	166351
12	166352	166352	166352	166352	166352	166352	166352
13	166353	166353	166353	166353	166353	166353	166353
14	166354	166354	166354	166354	166354	166354	166354
15	166355	166355	166355	166355	166355	166355	166355
16	166356	166356	166356	166356	166356	166356	166356
17	166357	166357	166357	166357	166357	166357	166357
18	166358	166358	166358	166358	166358	166358	166358
19	166359	166359	166359	166359	166359	166359	166359
20	166360	166360	166360	166360	166360	166360	166360
