ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	140501	140501	140501	140501	140501	140501	140501
2	140502	140502	140502	140502	140502	140502	140502
3	140503	140503	140503	140503	140503	140503	140503
4	140504	140504	140504	140504	140504	140504	140504
5	140505	140505	140505	140505	140505	140505	140505
6	140506	140506	140506	140506	140506	140506	140506
7	140507	140507	140507	140507	140507	140507	140507
8	140508	140508	140508	140508	140508	140508	140508
9	140509	140509	140509	140509	140509	140509	140509
10	140510	140510	140510	140510	140510	140510	140510
11	140511	140511	140511	140511	140511	140511	140511
12	140512	140512	140512	140512	140512	140512	140512
13	140513	140513	140513	140513	140513	140513	140513
14	140514	140514	140514	140514	140514	140514	140514
15	140515	140515	140515	140515	140515	140515	140515
16	140516	140516	140516	140516	140516	140516	140516
17	140517	140517	140517	140517	140517	140517	140517
18	140518	140518	140518	140518	140518	140518	140518
19	140519	140519	140519	140519	140519	140519	140519
20	140520	140520	140520	140520	140520	140520	140520
