ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	3081	3081	3081	3081	3081	3081	3081
2	3082	3082	3082	3082	3082	3082	3082
3	3083	3083	3083	3083	3083	3083	3083
4	3084	3084	3084	3084	3084	3084	3084
5	3085	3085	3085	3085	3085	3085	3085
6	3086	3086	3086	3086	3086	3086	3086
7	3087	3087	3087	3087	3087	3087	3087
8	3088	3088	3088	3088	3088	3088	3088
9	3089	3089	3089	3089	3089	3089	3089
10	3090	3090	3090	3090	3090	3090	3090
11	3091	3091	3091	3091	3091	3091	3091
12	3092	3092	3092	3092	3092	3092	3092
13	3093	3093	3093	3093	3093	3093	3093
14	3094	3094	3094	3094	3094	3094	3094
15	3095	3095	3095	3095	3095	3095	3095
16	3096	3096	3096	3096	3096	3096	3096
17	3097	3097	3097	3097	3097	3097	3097
18	3098	3098	3098	3098	3098	3098	3098
19	3099	3099	3099	3099	3099	3099	3099
20	3100	3100	3100	3100	3100	3100	3100
