ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	163621	163621	163621	163621	163621	163621	163621
2	163622	163622	163622	163622	163622	163622	163622
3	163623	163623	163623	163623	163623	163623	163623
4	163624	163624	163624	163624	163624	163624	163624
5	163625	163625	163625	163625	163625	163625	163625
6	163626	163626	163626	163626	163626	163626	163626
7	163627	163627	163627	163627	163627	163627	163627
8	163628	163628	163628	163628	163628	163628	163628
9	163629	163629	163629	163629	163629	163629	163629
10	163630	163630	163630	163630	163630	163630	163630
11	163631	163631	163631	163631	163631	163631	163631
12	163632	163632	163632	163632	163632	163632	163632
13	163633	163633	163633	163633	163633	163633	163633
14	163634	163634	163634	163634	163634	163634	163634
15	163635	163635	163635	163635	163635	163635	163635
16	163636	163636	163636	163636	163636	163636	163636
17	163637	163637	163637	163637	163637	163637	163637
18	163638	163638	163638	163638	163638	163638	163638
19	163639	163639	163639	163639	163639	163639	163639
20	163640	163640	163640	163640	163640	163640	163640
