ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	158061	158061	158061	158061	158061	158061	158061
2	158062	158062	158062	158062	158062	158062	158062
3	158063	158063	158063	158063	158063	158063	158063
4	158064	158064	158064	158064	158064	158064	158064
5	158065	158065	158065	158065	158065	158065	158065
6	158066	158066	158066	158066	158066	158066	158066
7	158067	158067	158067	158067	158067	158067	158067
8	158068	158068	158068	158068	158068	158068	158068
9	158069	158069	158069	158069	158069	158069	158069
10	158070	158070	158070	158070	158070	158070	158070
11	158071	158071	158071	158071	158071	158071	158071
12	158072	158072	158072	158072	158072	158072	158072
13	158073	158073	158073	158073	158073	158073	158073
14	158074	158074	158074	158074	158074	158074	158074
15	158075	158075	158075	158075	158075	158075	158075
16	158076	158076	158076	158076	158076	158076	158076
17	158077	158077	158077	158077	158077	158077	158077
18	158078	158078	158078	158078	158078	158078	158078
19	158079	158079	158079	158079	158079	158079	158079
20	158080	158080	158080	158080	158080	158080	158080
