ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	142881	142881	142881	142881	142881	142881	142881
2	142882	142882	142882	142882	142882	142882	142882
3	142883	142883	142883	142883	142883	142883	142883
4	142884	142884	142884	142884	142884	142884	142884
5	142885	142885	142885	142885	142885	142885	142885
6	142886	142886	142886	142886	142886	142886	142886
7	142887	142887	142887	142887	142887	142887	142887
8	142888	142888	142888	142888	142888	142888	142888
9	142889	142889	142889	142889	142889	142889	142889
10	142890	142890	142890	142890	142890	142890	142890
11	142891	142891	142891	142891	142891	142891	142891
12	142892	142892	142892	142892	142892	142892	142892
13	142893	142893	142893	142893	142893	142893	142893
14	142894	142894	142894	142894	142894	142894	142894
15	142895	142895	142895	142895	142895	142895	142895
16	142896	142896	142896	142896	142896	142896	142896
17	142897	142897	142897	142897	142897	142897	142897
18	142898	142898	142898	142898	142898	142898	142898
19	142899	142899	142899	142899	142899	142899	142899
20	142900	142900	142900	142900	142900	142900	142900
