ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	146121	146121	146121	146121	146121	146121	146121
2	146122	146122	146122	146122	146122	146122	146122
3	146123	146123	146123	146123	146123	146123	146123
4	146124	146124	146124	146124	146124	146124	146124
5	146125	146125	146125	146125	146125	146125	146125
6	146126	146126	146126	146126	146126	146126	146126
7	146127	146127	146127	146127	146127	146127	146127
8	146128	146128	146128	146128	146128	146128	146128
9	146129	146129	146129	146129	146129	146129	146129
10	146130	146130	146130	146130	146130	146130	146130
11	146131	146131	146131	146131	146131	146131	146131
12	146132	146132	146132	146132	146132	146132	146132
13	146133	146133	146133	146133	146133	146133	146133
14	146134	146134	146134	146134	146134	146134	146134
15	146135	146135	146135	146135	146135	146135	146135
16	146136	146136	146136	146136	146136	146136	146136
17	146137	146137	146137	146137	146137	146137	146137
18	146138	146138	146138	146138	146138	146138	146138
19	146139	146139	146139	146139	146139	146139	146139
20	146140	146140	146140	146140	146140	146140	146140
