ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	186441	186441	186441	186441	186441	186441	186441
2	186442	186442	186442	186442	186442	186442	186442
3	186443	186443	186443	186443	186443	186443	186443
4	186444	186444	186444	186444	186444	186444	186444
5	186445	186445	186445	186445	186445	186445	186445
6	186446	186446	186446	186446	186446	186446	186446
7	186447	186447	186447	186447	186447	186447	186447
8	186448	186448	186448	186448	186448	186448	186448
9	186449	186449	186449	186449	186449	186449	186449
10	186450	186450	186450	186450	186450	186450	186450
11	186451	186451	186451	186451	186451	186451	186451
12	186452	186452	186452	186452	186452	186452	186452
13	186453	186453	186453	186453	186453	186453	186453
14	186454	186454	186454	186454	186454	186454	186454
15	186455	186455	186455	186455	186455	186455	186455
16	186456	186456	186456	186456	186456	186456	186456
17	186457	186457	186457	186457	186457	186457	186457
18	186458	186458	186458	186458	186458	186458	186458
19	186459	186459	186459	186459	186459	186459	186459
20	186460	186460	186460	186460	186460	186460	186460
