ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	145801	145801	145801	145801	145801	145801	145801
2	145802	145802	145802	145802	145802	145802	145802
3	145803	145803	145803	145803	145803	145803	145803
4	145804	145804	145804	145804	145804	145804	145804
5	145805	145805	145805	145805	145805	145805	145805
6	145806	145806	145806	145806	145806	145806	145806
7	145807	145807	145807	145807	145807	145807	145807
8	145808	145808	145808	145808	145808	145808	145808
9	145809	145809	145809	145809	145809	145809	145809
10	145810	145810	145810	145810	145810	145810	145810
11	145811	145811	145811	145811	145811	145811	145811
12	145812	145812	145812	145812	145812	145812	145812
13	145813	145813	145813	145813	145813	145813	145813
14	145814	145814	145814	145814	145814	145814	145814
15	145815	145815	145815	145815	145815	145815	145815
16	145816	145816	145816	145816	145816	145816	145816
17	145817	145817	145817	145817	145817	145817	145817
18	145818	145818	145818	145818	145818	145818	145818
19	145819	145819	145819	145819	145819	145819	145819
20	145820	145820	145820	145820	145820	145820	145820
