ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	122561	122561	122561	122561	122561	122561	122561
2	122562	122562	122562	122562	122562	122562	122562
3	122563	122563	122563	122563	122563	122563	122563
4	122564	122564	122564	122564	122564	122564	122564
5	122565	122565	122565	122565	122565	122565	122565
6	122566	122566	122566	122566	122566	122566	122566
7	122567	122567	122567	122567	122567	122567	122567
8	122568	122568	122568	122568	122568	122568	122568
9	122569	122569	122569	122569	122569	122569	122569
10	122570	122570	122570	122570	122570	122570	122570
11	122571	122571	122571	122571	122571	122571	122571
12	122572	122572	122572	122572	122572	122572	122572
13	122573	122573	122573	122573	122573	122573	122573
14	122574	122574	122574	122574	122574	122574	122574
15	122575	122575	122575	122575	122575	122575	122575
16	122576	122576	122576	122576	122576	122576	122576
17	122577	122577	122577	122577	122577	122577	122577
18	122578	122578	122578	122578	122578	122578	122578
19	122579	122579	122579	122579	122579	122579	122579
20	122580	122580	122580	122580	122580	122580	122580
