ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	95601	95601	95601	95601	95601	95601	95601
2	95602	95602	95602	95602	95602	95602	95602
3	95603	95603	95603	95603	95603	95603	95603
4	95604	95604	95604	95604	95604	95604	95604
5	95605	95605	95605	95605	95605	95605	95605
6	95606	95606	95606	95606	95606	95606	95606
7	95607	95607	95607	95607	95607	95607	95607
8	95608	95608	95608	95608	95608	95608	95608
9	95609	95609	95609	95609	95609	95609	95609
10	95610	95610	95610	95610	95610	95610	95610
11	95611	95611	95611	95611	95611	95611	95611
12	95612	95612	95612	95612	95612	95612	95612
13	95613	95613	95613	95613	95613	95613	95613
14	95614	95614	95614	95614	95614	95614	95614
15	95615	95615	95615	95615	95615	95615	95615
16	95616	95616	95616	95616	95616	95616	95616
17	95617	95617	95617	95617	95617	95617	95617
18	95618	95618	95618	95618	95618	95618	95618
19	95619	95619	95619	95619	95619	95619	95619
20	95620	95620	95620	95620	95620	95620	95620
