ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	103861	103861	103861	103861	103861	103861	103861
2	103862	103862	103862	103862	103862	103862	103862
3	103863	103863	103863	103863	103863	103863	103863
4	103864	103864	103864	103864	103864	103864	103864
5	103865	103865	103865	103865	103865	103865	103865
6	103866	103866	103866	103866	103866	103866	103866
7	103867	103867	103867	103867	103867	103867	103867
8	103868	103868	103868	103868	103868	103868	103868
9	103869	103869	103869	103869	103869	103869	103869
10	103870	103870	103870	103870	103870	103870	103870
11	103871	103871	103871	103871	103871	103871	103871
12	103872	103872	103872	103872	103872	103872	103872
13	103873	103873	103873	103873	103873	103873	103873
14	103874	103874	103874	103874	103874	103874	103874
15	103875	103875	103875	103875	103875	103875	103875
16	103876	103876	103876	103876	103876	103876	103876
17	103877	103877	103877	103877	103877	103877	103877
18	103878	103878	103878	103878	103878	103878	103878
19	103879	103879	103879	103879	103879	103879	103879
20	103880	103880	103880	103880	103880	103880	103880
